ID,Address,AssessedValue
2,379 SILVER ST ,643000
4,492 BOSTON RD WEST,472900
5,490 BOSTON RD WEST ,316000
6,480 BOSTON RD WEST ,77400
7,473 BOSTON RD WEST,259500
8,BOSTON RD WEST ,3300
10,440 BOSTON RD WEST,46400
11,450 BOSTON RD WEST ,402300
12,BOSTON RD WEST ,3100
13,381 SILVER ST ,123600
14,377 SILVER ST,249600
15, SILVER ST,5200
16,371 SILVER ST ,324600
17,369 SILVER ST ,505400
18,337 SILVER ST,550000
19,359 SILVER ST ,499000
20,56 MAXWELL RD ,133400
21,318 SILVER ST ,313000
23,324 SILVER ST ,364100
25,316 SILVER ST,395000
26,328 SILVER ST ,399800
27,SILVER ST ,55000
28,336 SILVER ST ,303200
29,SILVER ST ,63700
30,327 SILVER ST ,348200
32,305 SILVER ST ,968000
33,313 SILVER ST ,464000
34,18 MAXWELL RD,463500
35,28 MAXWELL RD ,432200
36,30 MAXWELL RD,267700
37,34 MAXWELL RD,358600
38,44 MAXWELL RD ,257800
39,48 MAXWELL RD,273800
40,MAXWELL RD ,101900
41, SILVER ST,5600
42,285 SILVER ST,380000
43,2 MAXWELL RD,295600
44,14 MAXWELL RD,349800
45,21 MAXWELL RD ,299200
46,275 SILVER ST ,96700
47,11 MAXWELL RD ,644900
48,17 MAXWELL RD,609600
49,265 SILVER ST ,372100
51,251 SILVER ST ,25700
52,259 SILVER ST ,212000
53,243 SILVER ST,332700
54,258 SILVER ST,606800
55,250 SILVER ST,387000
56,1 LAKESHORE DR ,386700
57, SILVER ST,79000
59,270 SILVER ST,321100
60, SILVER ST,79800
61, SILVER ST,75500
62,92 LAKESHORE DR,391000
63,96 LAKESHORE DR ,372800
64, LAKESHORE DR,6100
65,110 LAKESHORE DR ,346700
68,LAKESHORE DR ,5400
69,LAKESHORE DR ,5400
70,124 LAKESHORE DR,379600
71,119 LAKESHORE DR ,312900
72,109 LAKESHORE DR ,571900
73,103 LAKESHORE DR,284100
75,LAKESHORE DR ,6600
76,LAKESHORE DR ,77200
77,95 LAKESHORE DR ,344300
78,93 LAKESHORE DR,436200
79,91 LAKESHORE DR,315700
80,87 LAKESHORE DR,289800
82,77 LAKESHORE DR,420600
83, LAKESHORE DR,7000
84,73 LAKESHORE DR ,89800
85, LAKESHORE DR,7100
86,LAKESHORE DR ,68700
89,67 LAKESHORE DR,310200
90,LAKESHORE DR ,6300
91,63 LAKESHORE DR ,241400
92,61 LAKESHORE DR ,321500
93,LAKESHORE DR ,6900
94,57 LAKESHORE DR ,287600
96,53 LAKESHORE DR,312300
97,49 LAKESHORE DR,322800
98,45 LAKESHORE DR ,7800
100,39 LAKESHORE DR,334100
101,37 LAKESHORE DR ,304700
102,33 LAKESHORE DR ,7000
104,31 LAKESHORE DR,377100
105,29 LAKESHORE DR ,443400
107,25 LAKESHORE DR ,448200
109,19 LAKESHORE DR ,601300
110,17 LAKESHORE DR ,365100
111,81 LAKESHORE DR ,423300
112,13 LAKESHORE DR ,275500
113,7 LAKESHORE DR ,91000
114,5 LAKESHORE DR,343900
115,72 LAKESHORE DR,428700
116,3 LAKESHORE DR,436600
117,241 SILVER ST,483900
118,237 SILVER ST ,93300
119, SILVER ST,77400
120,255 REIMERS RD ,223000
122,264 REIMERS RD,80500
125,192 SILVER ST ,627100
